epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.64505,1.48873,2.98815,1.21297,0.00192,0.99145,0.00703,0.004,1.21987,3.89452,1.1041,0.000653333,0.000653333,0.000653333
2,17.1203,1.4291,2.311,1.26845,0.95089,0.16239,0.55438,0.29198,1.68345,3.68476,1.38868,0.00129386,0.00129386,0.00129386
3,24.6882,1.4244,1.79936,1.27586,0.7295,0.46154,0.57484,0.3232,1.44623,2.718,1.35858,0.00190799,0.00190799,0.00190799
4,32.385,1.39071,1.57992,1.27769,0.86647,0.88034,0.92526,0.55417,1.34544,1.76838,1.3376,0.0018812,0.0018812,0.0018812
5,39.8144,1.40692,1.31689,1.28618,0.8816,0.94017,0.93943,0.54892,1.3392,1.22581,1.30507,0.0018416,0.0018416,0.0018416
6,47.1553,1.39453,1.14704,1.27806,0.89469,0.87135,0.90885,0.55674,1.31884,1.28138,1.28835,0.001802,0.001802,0.001802
7,54.4668,1.39761,0.99793,1.27105,0.81014,0.87179,0.90372,0.51274,1.38836,1.43459,1.28656,0.0017624,0.0017624,0.0017624
8,61.968,1.35757,0.91893,1.24772,0.92626,0.89744,0.96127,0.59212,1.26908,0.79035,1.21789,0.0017228,0.0017228,0.0017228
9,69.7776,1.31186,0.8929,1.23579,0.93738,0.92308,0.97366,0.5961,1.31761,0.79518,1.20322,0.0016832,0.0016832,0.0016832
10,76.9157,1.3422,0.88485,1.24099,0.90957,0.90598,0.95575,0.53193,1.38206,0.93642,1.30121,0.0016436,0.0016436,0.0016436
11,84.3947,1.30871,0.83033,1.2214,0.94721,0.92023,0.96676,0.6237,1.26367,0.78721,1.20547,0.001604,0.001604,0.001604
12,91.8819,1.28343,0.74744,1.19019,0.88008,0.87821,0.93667,0.60056,1.2503,0.86038,1.18273,0.0015644,0.0015644,0.0015644
13,98.9603,1.28005,0.74692,1.20266,0.95991,0.93162,0.97941,0.61423,1.24602,0.71139,1.17805,0.0015248,0.0015248,0.0015248
14,105.951,1.2881,0.74309,1.20926,0.94176,0.96751,0.98767,0.64065,1.20778,0.63773,1.18147,0.0014852,0.0014852,0.0014852
15,113.016,1.31608,0.74265,1.2442,0.95732,0.95851,0.9745,0.60575,1.24612,0.78626,1.21626,0.0014456,0.0014456,0.0014456
16,120.335,1.27007,0.72685,1.19729,0.97903,0.94872,0.9812,0.62482,1.26005,0.65677,1.23853,0.001406,0.001406,0.001406
17,127.497,1.28426,0.72037,1.20009,0.96463,0.93227,0.98326,0.63885,1.26559,0.66024,1.21373,0.0013664,0.0013664,0.0013664
18,134.579,1.25674,0.69792,1.21905,0.98236,0.95187,0.98926,0.65396,1.22132,0.60411,1.22282,0.0013268,0.0013268,0.0013268
19,141.684,1.21824,0.65664,1.17839,0.97804,0.95726,0.99157,0.68449,1.16366,0.58238,1.16561,0.0012872,0.0012872,0.0012872
20,148.921,1.21763,0.69286,1.18015,0.94158,0.96581,0.98376,0.65024,1.18054,0.66679,1.17454,0.0012476,0.0012476,0.0012476
21,156.097,1.25571,0.68812,1.20782,0.96353,0.96581,0.9886,0.67686,1.11677,0.61626,1.12988,0.001208,0.001208,0.001208
22,163.044,1.22254,0.64575,1.17939,0.96224,0.96581,0.98961,0.66466,1.17497,0.6214,1.15912,0.0011684,0.0011684,0.0011684
23,170.392,1.21953,0.65033,1.18717,0.97438,0.95726,0.99063,0.67871,1.16735,0.5721,1.17015,0.0011288,0.0011288,0.0011288
24,177.963,1.15173,0.63228,1.16553,0.97384,0.95448,0.97876,0.62484,1.25835,0.6394,1.23445,0.0010892,0.0010892,0.0010892
25,184.717,1.17998,0.61289,1.17022,0.95121,0.96581,0.98725,0.67727,1.14778,0.5811,1.13626,0.0010496,0.0010496,0.0010496
26,192.51,1.22611,0.6301,1.16522,0.93653,0.98291,0.98592,0.62373,1.29071,0.67132,1.22326,0.00101,0.00101,0.00101
27,199.832,1.23673,0.62923,1.18307,0.95749,0.9625,0.97697,0.61653,1.35146,0.63263,1.24244,0.0009704,0.0009704,0.0009704
28,207.198,1.19424,0.59896,1.15864,0.97403,0.96161,0.99013,0.69852,1.13347,0.55001,1.15326,0.0009308,0.0009308,0.0009308
29,214.383,1.21159,0.60635,1.16306,0.95257,0.97436,0.98851,0.68063,1.15909,0.55875,1.15907,0.0008912,0.0008912,0.0008912
30,221.959,1.18735,0.59912,1.13805,0.94602,0.98291,0.98932,0.68154,1.15706,0.54895,1.15388,0.0008516,0.0008516,0.0008516
31,229.447,1.14574,0.55362,1.12344,0.97453,0.98291,0.98785,0.64998,1.24612,0.56293,1.19257,0.000812,0.000812,0.000812
32,236.548,1.14338,0.55309,1.132,0.96332,0.97436,0.98926,0.70679,1.15208,0.54247,1.13994,0.0007724,0.0007724,0.0007724
