epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.143,1.42727,1.83862,1.10307,0.73813,0.62853,0.67852,0.43582,1.19524,0.97913,1.0093,0.000369313,0.000369313,0.000369313
2,108.099,1.31329,1.07026,1.06565,0.73266,0.64158,0.70771,0.45526,1.16672,0.87172,1.01027,0.000725001,0.000725001,0.000725001
3,155.961,1.2842,0.97068,1.05802,0.74476,0.66594,0.71753,0.46425,1.16567,0.84679,1.02629,0.00106602,0.00106602,0.00106602
4,203.143,1.25144,0.8964,1.04815,0.78832,0.70931,0.77935,0.5163,1.12704,0.80363,1.01347,0.00104501,0.00104501,0.00104501
5,250.617,1.22375,0.84024,1.03092,0.78784,0.70942,0.78187,0.51624,1.1269,0.75704,1.00203,0.00102301,0.00102301,0.00102301
6,297.536,1.20567,0.80826,1.02561,0.7866,0.74779,0.81048,0.54416,1.11548,0.72219,1.00917,0.00100101,0.00100101,0.00100101
7,344.978,1.188,0.77214,1.01386,0.82046,0.76574,0.82502,0.5572,1.08358,0.69473,0.9885,0.000979013,0.000979013,0.000979013
8,393.801,1.17156,0.75775,1.00906,0.78936,0.77277,0.82487,0.55843,1.07171,0.68499,0.98801,0.000957015,0.000957015,0.000957015
9,441.849,1.15788,0.73894,1.0024,0.84379,0.76526,0.83457,0.56859,1.06774,0.66402,0.97981,0.000935018,0.000935018,0.000935018
10,487.769,1.13999,0.72154,0.9969,0.82622,0.78779,0.84934,0.58214,1.05459,0.6563,0.97679,0.00091302,0.00091302,0.00091302
11,534.363,1.1281,0.7053,0.9904,0.84688,0.78991,0.85111,0.58959,1.05694,0.64156,0.97521,0.000891022,0.000891022,0.000891022
12,581.842,1.12203,0.69546,0.98919,0.81811,0.79977,0.85309,0.58764,1.04223,0.62792,0.9725,0.000869024,0.000869024,0.000869024
13,629.393,1.10725,0.68446,0.98524,0.8518,0.80967,0.86866,0.59942,1.03898,0.61882,0.97303,0.000847026,0.000847026,0.000847026
14,676.944,1.09892,0.67413,0.98318,0.86569,0.79907,0.86527,0.60093,1.02656,0.62584,0.96567,0.000825029,0.000825029,0.000825029
15,725.098,1.08849,0.66214,0.97817,0.86194,0.80863,0.87387,0.61703,1.0143,0.61278,0.9631,0.000803031,0.000803031,0.000803031
16,773.053,1.07663,0.65401,0.9722,0.83357,0.81225,0.86646,0.60552,1.00839,0.60056,0.96266,0.000781033,0.000781033,0.000781033
17,820.676,1.07344,0.64546,0.97282,0.85989,0.81947,0.87322,0.61036,1.02334,0.60562,0.9626,0.000759035,0.000759035,0.000759035
18,867.9,1.06078,0.63537,0.96674,0.862,0.8118,0.88415,0.62537,0.99008,0.58031,0.94834,0.000737037,0.000737037,0.000737037
19,915.447,1.05277,0.63287,0.96339,0.86708,0.8154,0.88234,0.62611,0.98731,0.585,0.94845,0.00071504,0.00071504,0.00071504
20,963.67,1.04871,0.62043,0.95969,0.87795,0.82941,0.89358,0.63796,0.98992,0.58221,0.95101,0.000693042,0.000693042,0.000693042
21,1012.2,1.03363,0.60963,0.95728,0.84632,0.83287,0.88832,0.63493,0.99507,0.57377,0.94939,0.000671044,0.000671044,0.000671044
22,1060.88,1.02272,0.6046,0.95378,0.86933,0.84917,0.8999,0.64729,0.97653,0.55982,0.94679,0.000649046,0.000649046,0.000649046
23,1109.55,1.01579,0.59639,0.95062,0.87887,0.82703,0.88885,0.63917,0.9785,0.57027,0.94602,0.000627048,0.000627048,0.000627048
24,1157.32,1.00965,0.59284,0.95057,0.87302,0.84256,0.89652,0.65501,0.9627,0.55376,0.94007,0.000605051,0.000605051,0.000605051
25,1205.82,1.00607,0.58071,0.94712,0.87937,0.84016,0.89715,0.65207,0.96423,0.55062,0.94292,0.000583053,0.000583053,0.000583053
26,1254.37,0.9938,0.58052,0.94335,0.8763,0.8475,0.90299,0.65738,0.95553,0.55424,0.94003,0.000561055,0.000561055,0.000561055
27,1301.93,0.99193,0.57815,0.94349,0.88583,0.85115,0.90763,0.66498,0.94367,0.54087,0.93244,0.000539057,0.000539057,0.000539057
28,1350.31,0.98259,0.57091,0.94025,0.85598,0.86068,0.90678,0.66301,0.94932,0.54766,0.93688,0.000517059,0.000517059,0.000517059
